代碼,商品,漲幅%,產業地位,細產業,股本,市值
5601,台聯櫃,-0.14,台灣經營貨櫃集散站之業者,貨櫃場服務,6.48,22.9
5603,陸海,0,從事內陸貨櫃運輸、裝卸及重機件運輸、吊裝業務之業者,陸運,10.49,16.6
5609,中菲行,0,台灣空運及海運貨運承攬商,海空運承攬業,14.29,113.7
7716,昱臺國際,-0.79,主要提供貨物之海運承攬服務,海空運承攬業,2.25,5.6
2701,萬企,0,經營商場租賃、電影院及遊樂場業務,物業投資發展,45,48.1
2702,華園,-4.79,位於高雄六合夜市及愛河中心點的國際觀光飯店,飯店,15.66,21.8
2704,國賓,0.71,知名飯店及米其林餐廳業者,飯店,36.69,157
2705,六福,0.94,集團旗下擁有遊樂園、渡假飯店及五星級飯店,飯店,19.13,29.9
2706,第一店,-1.2,位於台北市南京東路精華地帶之飯店,飯店,50,61.7
2707,晶華,0.59,國際五星級觀光飯店,飯店,12.74,218.5
2712,遠雄來,-2.3,遠雄旗下位於花蓮海洋公園旁之五星級飯店,飯店,10.5,17.9
2722,夏都,0,官田鋼轉投資，位於台灣墾丁之觀光渡假飯店,飯店,14.32,33.6
2723,美食-KY,1.8,以「85度C」為品牌之咖啡烘焙連鎖店,餐飲,18,122.4
2727,王品,0.21,連鎖餐飲集團，旗下擁有多個餐飲品牌,餐飲,8.29,194.9
2731,雄獅,0,台灣知名與規模最大的旅行社之一,旅行社,9.33,148.8
2739,寒舍,0.43,在台北經營管理五星級飯店及餐飲服務之業者,飯店,9.15,31.9
2748,雲品,-0.12,日月潭首家擁有天然溫泉的五星渡假飯店,飯店,10.58,42.4
2753,八方雲集,-0.55,台式連鎖餐飲集團，擁有八方雲集、梁社漢排骨,餐飲,6.66,119.6
5706,鳳凰,0.19,台灣首家上市旅行社，提供國內外全方位旅遊產品,旅行社,8.49,43.7
7705,三商餐飲,-2.79,三商旗下，經營多品牌連鎖餐飲服務,餐飲,6.61,20.7
7760,享溫馨,-0.58,主要從事庭園式KTV及餐飲業務,KTV,6.6,22.7
8940,新天地,-1.37,於台灣北中南部擁有多家大型婚宴會館業者,餐飲,6.75,12.2
9943,好樂迪,-0.88,台灣知名KTV業者,KTV,12.52,70.1
1259,安心,0,東元旗下，以摩斯為速食餐飲連鎖品牌,餐飲,3.24,18.6
1268,漢來美食,0.63,台灣知名餐飲集團，經營多元品牌,餐飲,4.22,67.3
2719,燦星旅,-0.76,台鋼集團旗下旅遊公司,旅行社,6.92,18.1
2726,雅茗-KY,-0.49,在大陸以快樂檸檬品牌知名的台商茶飲料業者,連鎖飲料,3.79,3.8
2729,瓦城,-0.6,泰式料理連鎖餐廳,餐飲,4.3,71
2732,六角,-1.79,在全球80個城市擁有門市據點的外帶式茶飲與甜品供應商,連鎖飲料,4.65,30.6
2734,易飛網,-1.27,聚焦於線上銷售服務的旅行社業者,旅行社,5.73,8.9
2736,富野,-0.4,台東縣知本溫泉區的知名溫泉飯店,飯店,8,10
2740,華軒,-2.38,旗下「點八餐飲集團」主營港式餐飲品牌,餐飲,1.68,6.5
2743,山富,-0.43,台灣知名旅行社之一,旅行社,4.68,32.6
2745,五福,0,來自高雄的國內前五大旅行社,旅行社,3.38,34.3
2751,王座,-2.35,六角旗下，代理與經營海內外餐飲品牌,餐飲,1.98,10.7
2752,豆府,-1.09,台灣規模最大韓式連鎖餐廳集團,餐飲,2.67,48.6
2754,亞洲藏壽司,-0.29,日式迴轉壽司連鎖店，擁有品牌「藏壽司」,餐飲,4.69,32.3
2755,揚秦,-1.85,連鎖.直營門市餐飲經營者，核心品牌「麥味登」,餐飲,3.74,49.7
2756,聯發國際,-6.39,茶飲連鎖店，核心品牌「歇腳亭」,連鎖飲料,2.46,15.1
3252,海灣,0,知名海邊渡假飯店,飯店,5.02,9.5
3522,御嵿,0.4,連鎖餐飲事業，擁有頂鮮餐廳及晶宴會館,餐飲,10.41,13.1
4419,皇家美食,5.75,經營漢堡王、潮港城二大餐飲品牌,餐飲,16.92,80.9
4530,宏易,0,主要經營餐飲燒烤餐館品牌,餐飲,3.58,9.1
